PTIME,speed_kmh,accel_long,accel_lat,throttle_pct,steering_deg,engine_rpm,brake_active,abs_esc_active,CASEID,VEHNO,crash_class,CRASHTYPE,DVTOTAL,DVLONG,DVLAT,SURFCOND,LIGHTCOND,WEATHER,MODELYR,source_year,event_id,source,is_crash
-3.7,35.63001612092065,,-0.23126073514256276,0.9702507729302646,,,1257.0,-1.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.6,34.821910496736514,,-0.18500858811405024,0.9762006183442116,,,1257.0,-1.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.5,33.97099999999999,,5.551115123125783e-17,1.0,,,1261.0,-1.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.4,33.06996590587427,,0.3330154586052908,1.0428388869804193,,,1261.0,-1.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.3,32.16161308691172,,0.6752813466162838,1.0868677430436278,,,1261.0,-1.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.2,31.301277315012033,,0.8510395053246307,1.1094771556166267,,,1261.0,-1.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.1,30.544294362074893,,0.6845317760219861,1.0880577121264172,,,1261.0,-1.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.0,29.945999999999998,,0.0,1.0,,,1308.0,4.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.9,29.543397128134664,,-1.2395575403641377,0.8325441429062176,,,1308.0,4.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.8,29.30015715561663,,-2.5161167983510855,0.6123284094812774,,,1308.0,4.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.7,29.161618619031266,,-3.172897286155961,0.37584060460322966,,,1308.0,4.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.6,29.073120054963933,,-2.553118515973895,0.15956853315012046,,,1308.0,4.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.5,28.98,,0.0,6.938893903907228e-18,,,1322.0,35.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.4,28.84718158158709,,4.84921470285126,-0.07701545860529035,,,1322.0,35.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.3,28.717926290621783,,11.181185846788058,-0.08818138096873927,,,1322.0,35.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.2,28.655080208862934,,17.8885496392992,-0.06083957402954318,,,1322.0,35.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.1,28.721489418069392,,23.86394228787358,-0.02233184472689804,,,1322.0,35.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-2.0,28.979999999999997,,28.0,0.0,,,1428.0,23.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-1.9,29.459212545517,,29.47469872895912,-0.012482308485056697,,,1428.0,23.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-1.8,30.050745681896252,,28.6073734111989,-0.043602885606320856,,,1428.0,23.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-1.7,30.611972545517002,,26.00269872895912,-0.06848230848505674,,,1428.0,23.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
