CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,PCODE,PTIME,PVALUE,CASEWGT,PSUSTRAT,VERSION
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-3.6000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-3.6000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-3.6000,1306.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-3.6000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-3.6000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-3.6000,-5.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.5000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-3.5000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-3.5000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-3.5000,1300.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-3.5000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-3.5000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-3.5000,-5.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.4000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-3.4000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-3.4000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-3.4000,1302.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-3.4000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-3.4000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-3.4000,-4.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.3000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-3.3000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-3.3000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-3.3000,1308.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-3.3000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-3.3000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-3.3000,-4.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.2000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-3.2000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-3.2000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-3.2000,1308.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-3.2000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-3.2000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-3.2000,-4.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.1000,0.0000,353.331729164077,9,4
