CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTACTAREA,CONTCOMP,NMNO,LONGLOC,LATLOC,CRUSH,BOTTOMOUT,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
2400630,69,11,1-69-2024-011-NM1,21,1,D,1,700,1,46,32,0,0,851,3,2,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,E,10,61,1,888,888,888,8,999,98,1,7.66811372485411,8,9
2400574,13,13,1-13-2024-013-NM1,21,1,H,10,61,1,888,888,888,8,999,98,1,16.3827604184312,7,9
2401592,28,42,1-28-2024-042-NM2,22,1,A,1,700,1,999,999,999,0,999,2,1,37.9334438090452,3,9
2401592,28,42,1-28-2024-042-NM2,22,1,B,1,703,1,999,999,999,9,999,98,1,37.9334438090452,3,9
2401592,28,42,1-28-2024-042-NM2,22,1,C,1,706,1,999,999,999,9,999,2,1,37.9334438090452,3,9
2400619,16,21,1-16-2024-021-NM1,21,1,E,10,61,1,888,888,888,8,999,98,1,61.8147074429554,5,9
2400514,15,18,1-15-2024-018-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,48.0070740321826,1,9
2400678,11,18,1-11-2024-018-NM1,21,1,I,10,61,1,888,888,888,8,811,98,2,37.1071357763572,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,F,1,701,1,18,46,0,0,861,3,2,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,G,6,777,1,215,38,3,8,101,5,2,7.66811372485411,8,9
2400050,69,1,1-69-2024-001-NM1,21,1,B,2,720,1,117,-89,0,0,852,3,2,7.66811372485411,8,9
2401306,26,31,1-26-2024-031-NM1,21,1,G,3,753,1,999,74,999,0,999,5,3,25.7030205312635,10,9
2401535,12,28,1-12-2024-028-NM2,22,1,B,2,720,1,170,-90,4,0,999,5,2,249.68170357321,9,9
2401535,12,28,1-12-2024-028-NM2,22,1,C,2,720,1,202,-92,1,0,812,5,2,249.68170357321,9,9
2401535,12,28,1-12-2024-028-NM2,22,1,D,5,770,1,220,-83,1,0,512,3,2,249.68170357321,9,9
2401535,12,28,1-12-2024-028-NM2,22,1,E,2,730,1,294,-92,1,0,999,5,3,249.68170357321,9,9
2401016,24,22,1-24-2024-022-NM1,21,1,C,1,703,1,106,62,6,1,821,1,1,81.6170730667138,1,9
2401016,24,22,1-24-2024-022-NM1,21,1,E,6,784,1,232,80,2,0,712,3,2,81.6170730667138,1,9
2400079,59,5,1-59-2024-005-NM2,22,1,B,10,61,1,888,888,888,8,999,98,1,326.257763636632,6,9
2400652,22,18,1-22-2024-018-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,29.4805146666259,12,9
2400118,69,3,1-69-2024-003-NM1,21,1,E,10,61,1,888,888,888,8,999,98,1,7.66811372485411,8,9
2400830,77,27,1-77-2024-027-NM2,22,1,A,10,61,1,888,888,888,8,101,98,1,330.223105550016,9,9
2401800,60,18,1-60-2024-018-NM1,21,1,A,1,701,1,44,-42,0,0,851,9,2,135.73456108388,8,9
2401800,60,18,1-60-2024-018-NM1,21,1,B,1,706,1,106,-66,3,0,811,2,1,135.73456108388,8,9
2401800,60,18,1-60-2024-018-NM1,21,1,C,5,770,1,150,-48,4,1,711,1,1,135.73456108388,8,9
2401800,60,18,1-60-2024-018-NM1,21,1,D,5,770,1,190,-48,999,0,101,1,1,135.73456108388,8,9
2401113,13,28,1-13-2024-028-NM1,21,1,C,10,61,1,999,999,999,9,999,98,1,14.5007405645646,7,9
2400730,32,22,1-32-2024-022-NM1,21,1,C,6,775,1,999,999,999,8,101,12,2,10.9241646727683,7,9
2401297,27,43,1-27-2024-043-NM1,21,1,H,10,61,1,888,888,888,8,999,98,1,20.2398432682456,3,9
2401085,77,38,1-77-2024-038-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,297.636915073691,9,9
2401773,33,29,1-33-2024-029-NM2,22,1,A,3,753,1,307,119,0,0,101,2,1,84.6784527844662,12,9
2401773,33,29,1-33-2024-029-NM2,22,1,B,3,750,1,888,888,0,0,501,3,1,84.6784527844662,12,9
2401773,33,29,1-33-2024-029-NM2,22,1,C,3,750,1,888,888,0,0,501,3,1,84.6784527844662,12,9
