CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
2403614,14,61,1-14-2024-061-07,7,3,278,491,185,1496,158,98,114,150,4,2.4,2,1,0,0,61,3357.0434635821,8,9
2401103,48,39,1-48-2024-039-04,4,1,270,464,180,1256,154,91,104,160,4,2.0,2,1,0,0,61,155.227864749639,12,9
2404349,32,130,1-32-2024-130-07,7,2,279,489,193,2030,163,100,111,999,4,2.7,2,4,9,0,55,16039.8860823842,7,9
2400356,76,9,1-76-2024-009-07,7,1,262,440,180,1509,156,91,87,150,4,2.4,2,3,0,0,59,72.7960942583928,3,9
2405274,77,167,1-77-2024-167-03,3,3,262,449,174,1194,153,88,99,999,98,1.6,2,1,9,0,61,255.781191541611,9,9
2405274,77,167,1-77-2024-167-03,3,4,306,517,199,2150,173,93,119,999,4,2.5,2,4,9,0,99,255.781191541611,9,9
2406021,14,122,1-14-2024-122-03,3,1,279,489,190,2150,164,108,102,160,6,3.5,2,4,0,0,56,136.771072739086,8,9
2403416,81,80,1-81-2024-080-06,6,1,368,581,200,2454,170,98,116,999,8,5.0,2,4,9,0,56,2683.6912169643,8,9
2403416,81,80,1-81-2024-080-06,6,2,284,511,185,1661,159,101,126,148,4,2.5,2,1,0,0,59,2683.6912169643,8,9
2403957,57,99,1-57-2024-099-03,3,1,270,464,176,1315,152,94,100,999,4,1.8,2,1,9,0,61,81.2040485683393,1,9
2406272,16,131,1-16-2024-131-03,3,2,288,487,184,1868,157,86,113,154,6,3.0,2,4,0,0,51,132.869057626833,5,9
2401412,16,44,1-16-2024-044-01,1,1,230,355,163,1068,141,71,54,140,4,1.4,1,1,0,0,62,26.4826489473316,5,9
2401157,16,34,1-16-2024-034-06,6,1,398,611,200,2586,170,98,116,999,8,5.0,2,3,9,0,56,444.975684448216,5,9
2401157,16,34,1-16-2024-034-06,6,2,266,460,185,1610,157,94,100,154,4,2.5,2,4,0,0,58,444.975684448216,5,9
2401157,16,34,1-16-2024-034-06,6,3,273,455,190,1313,157,93,89,999,4,1.5,2,1,9,0,61,444.975684448216,5,9
2403218,16,96,1-16-2024-096-NM1,21,1,280,482,184,1540,159,94,108,154,4,2.4,2,1,0,0,60,19.3635256654646,5,9
2402863,16,84,1-16-2024-084-02,2,2,289,522,189,1799,159,116,117,156,8,4.0,2,1,0,0,63,15.1092509057653,5,9
2402863,16,84,1-16-2024-084-02,2,3,330,570,204,2620,173,103,137,180,8,5.3,2,3,0,0,51,15.1092509057653,5,9
2406175,16,130,1-16-2024-130-02,2,2,281,480,190,1787,166,93,106,160,4,2.5,2,4,0,0,57,56.791932701426,5,9
2400616,16,18,1-16-2024-018-05,5,1,283,467,185,1721,158,85,100,158,4,2.0,2,2,0,0,53,32.2194722089817,5,9
2401025,16,31,1-16-2024-031-05,5,3,300,518,198,2046,172,95,123,170,6,3.5,2,1,0,0,55,17.5468318569652,5,9
2405459,16,125,1-16-2024-125-03,3,1,258,439,173,1156,152,83,98,145,4,1.6,2,1,0,0,57,626.460170602389,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,281,509,185,1684,158,110,120,150,6,3.9,2,1,0,0,61,19.3635256654646,5,9
2405900,18,149,1-18-2024-149-03,3,1,263,445,181,1479,151,92,90,148,4,2.4,2,4,0,0,56,132.618133574143,6,9
2405900,18,149,1-18-2024-149-03,3,2,265,457,184,1512,160,97,93,156,4,2.0,2,4,0,0,99,132.618133574143,6,9
2401893,18,67,1-18-2024-067-06,6,1,308,514,200,2115,166,95,111,162,6,3.6,2,1,0,1,56,256.576748444126,6,9
2401893,18,67,1-18-2024-067-06,6,2,286,492,192,1998,164,95,112,162,6,3.6,2,4,0,0,57,256.576748444126,6,9
2405405,18,132,1-18-2024-132-01,1,1,287,516,194,1822,168,103,126,158,6,3.5,2,1,0,0,60,63.8166126674341,6,9
2405405,18,132,1-18-2024-132-01,1,2,357,574,201,2336,173,102,116,168,8,5.7,2,3,0,0,57,63.8166126674341,6,9
2402808,18,84,1-18-2024-084-03,3,1,283,489,183,1520,158,98,109,162,4,2.5,2,1,0,0,60,90.7251439638903,6,9
2403057,18,88,1-18-2024-088-03,3,1,264,441,181,1463,156,91,87,150,3,1.3,2,4,0,0,60,141.937523628979,6,9
2403183,18,90,1-18-2024-090-06,6,2,287,487,189,2092,158,90,110,152,6,4.2,2,3,0,0,54,441.366614439606,6,9
2400836,18,31,1-18-2024-031-02,2,1,283,490,185,1558,161,97,112,152,4,2.5,2,1,0,0,61,46.7280335632617,6,9
2406246,18,154,1-18-2024-154-03,3,1,303,505,200,2022,170,86,117,160,6,3.0,2,3,0,0,50,50.1559535759686,6,9
2406246,18,154,1-18-2024-154-03,3,2,277,485,182,1542,157,102,106,999,4,2.4,2,1,9,0,62,50.1559535759686,6,9
2400813,18,29,1-18-2024-029-03,3,1,267,439,189,1684,161,87,86,152,4,2.0,2,4,0,0,57,37.4691262436427,6,9
2400813,18,29,1-18-2024-029-03,3,2,308,514,200,2115,166,95,111,999,6,3.6,2,1,0,0,56,37.4691262436427,6,9
