CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
2400032,19,1,1-19-2024-001-04,4,2,5,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,686.171980556767,9,9
2400032,19,1,1-19-2024-001-04,4,2,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,686.171980556767,9,9
2400032,19,1,1-19-2024-001-04,4,2,7,11,1,1,7,0,60,60,60,60,,,,,,,,,,,,,686.171980556767,9,9
2400033,19,2,1-19-2024-002-05,5,1,1,1,1,99,1,0,1,0,0,50,9,9,99,,,,,,,,,99,49.1552833588875,9,9
2400033,19,2,1-19-2024-002-05,5,1,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,49.1552833588875,9,9
2400035,79,1,1-79-2024-001-06,6,1,1,1,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,24,2,1,1,126.263816360641,8,9
2400035,79,1,1-79-2024-001-06,6,1,2,4,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,24,2,1,1,126.263816360641,8,9
2400035,79,1,1-79-2024-001-06,6,1,3,5,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,24,2,1,1,126.263816360641,8,9
2400035,79,1,1-79-2024-001-06,6,1,4,8,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,24,2,1,1,126.263816360641,8,9
2400035,79,1,1-79-2024-001-06,6,1,5,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,126.263816360641,8,9
2400035,79,1,1-79-2024-001-06,6,1,6,4,1,1,1,0,1,99,9,79,,,,,,,,,,,,,126.263816360641,8,9
2400035,79,1,1-79-2024-001-06,6,1,7,5,1,1,1,0,1,0,0,50,,,,,,,,,,,,,126.263816360641,8,9
2400035,79,1,1-79-2024-001-06,6,1,8,8,1,1,1,0,1,0,0,50,,,,,,,,,,,,,126.263816360641,8,9
2400037,12,1,1-12-2024-001-06,6,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,341.619890680719,9,9
2400037,12,1,1-12-2024-001-06,6,2,2,5,1,99,1,0,1,0,0,50,9,9,1,12,-9,8,26197,998,15,0,1,1,341.619890680719,9,9
2400037,12,1,1-12-2024-001-06,6,2,3,8,1,99,1,0,1,0,97,97,9,9,1,12,-9,8,26197,998,15,0,1,1,341.619890680719,9,9
2400037,12,1,1-12-2024-001-06,6,2,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,341.619890680719,9,9
2400037,12,1,1-12-2024-001-06,6,2,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,341.619890680719,9,9
2400037,12,1,1-12-2024-001-06,6,2,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,341.619890680719,9,9
2400038,17,1,1-17-2024-001-07,7,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,1,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,1,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,1,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,2,1,1,1,99,7,0,60,60,60,60,8,9,60,,,,,,,,,60,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,2,2,5,1,99,7,0,60,60,60,60,8,9,60,,,,,,,,,60,1125.89793451176,4,9
