CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,PBTYPE,PBAGE,PBSEX,PEDCTYPE,PEDCGP,PEDLOC,PEDPOS,PEDDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,BIKECTYPE,BIKECGP,BIKELOC,BIKEPOS,BIKEDIR,CASEWGT,PSUSTRAT,VERSION
2405998,20,141,1-20-2024-141-NM1,21,1,5,22,1,140,100,3,3,8,8,8,8,8,0,0,7,7,7,35.0220589332575,11,9
2405972,21,146,1-21-2024-146-NM1,21,1,5,28,1,230,100,3,4,8,8,8,8,8,0,0,7,7,7,9.08918343004306,11,9
2405941,11,180,1-11-2024-180-NM2,22,1,5,9,2,312,310,3,3,8,8,8,8,8,0,0,7,7,7,2346.62012709175,8,9
2405846,15,225,1-15-2024-225-NM2,22,1,6,35,1,0,0,7,77,7,7,7,7,7,155,158,2,1,1,31.8783964598429,1,9
2406207,22,188,1-22-2024-188-NM2,22,1,5,67,2,781,790,1,2,4,2,1,2,11b,0,0,7,7,7,24.4305122731702,12,9
2401036,32,34,1-32-2024-034-NM1,21,1,5,35,1,140,100,3,4,8,8,8,8,8,0,0,7,7,7,15.678814367208,7,9
2400662,26,13,1-26-2024-013-NM2,22,1,5,71,1,791,790,1,2,1,1,2,2,7a,0,0,7,7,7,1176.30815772609,10,9
2401286,52,17,1-52-2024-017-NM2,22,1,5,84,2,213,200,3,3,8,8,8,8,8,0,0,7,7,7,35.2372312111538,12,9
2400847,82,23,1-82-2024-023-NM2,22,1,5,61,2,190,100,3,4,8,8,8,8,8,0,0,7,7,7,774.715121490359,1,9
2400683,59,24,1-59-2024-024-NM1,21,1,5,20,2,781,790,1,2,2,4,1,2,11b,0,0,7,7,7,62.3822922049643,6,9
2400678,11,18,1-11-2024-018-NM1,21,1,5,72,1,760,750,2,3,1,4,3,1,2a,0,0,7,7,7,37.1071357763572,8,9
2400729,32,21,1-32-2024-021-NM1,21,1,5,20,1,230,100,3,3,8,8,8,8,8,0,0,7,7,7,10.924164677076,7,9
2400884,14,13,1-14-2024-013-NM2,22,1,5,92,1,410,400,3,3,8,8,8,8,8,0,0,7,7,7,678.185114701579,8,9
2400923,21,22,1-21-2024-022-NM1,21,1,5,38,2,760,750,2,3,4,1,3,2,4b,0,0,7,7,7,12.4076963253184,11,9
2401535,12,28,1-12-2024-028-NM2,22,1,6,27,1,0,0,7,77,7,7,7,7,7,155,158,1,3,1,249.68170357321,9,9
2401324,66,26,1-66-2024-026-NM2,22,1,5,38,2,410,400,3,3,8,8,8,8,8,0,0,7,7,7,110.074249285118,6,9
2401146,20,28,1-20-2024-028-NM1,21,1,5,20,2,680,990,3,4,8,8,8,8,8,0,0,7,7,7,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,5,24,2,680,990,3,4,8,8,8,8,8,0,0,7,7,7,43.971490849978,11,9
2401183,22,34,1-22-2024-034-NM2,22,1,5,69,1,770,750,2,2,2,3,3,2,3b,0,0,7,7,7,24.4305122731702,12,9
2401113,13,28,1-13-2024-028-NM1,21,1,5,60,1,410,400,3,5,8,8,8,8,8,0,0,7,7,7,14.5007405645646,7,9
2401053,27,34,1-27-2024-034-NM2,22,1,5,68,2,160,100,3,3,8,8,8,8,8,0,0,7,7,7,32.7871735473087,3,9
2401592,28,42,1-28-2024-042-NM2,22,1,5,42,2,770,750,1,2,3,2,3,1,1a,0,0,7,7,7,37.9334438090452,3,9
2401198,13,30,1-13-2024-030-NM2,22,1,5,22,1,770,750,3,2,8,8,8,8,8,0,0,7,7,7,1161.47481366351,7,9
2404828,25,128,1-25-2024-128-NM1,21,1,5,57,1,760,750,3,3,8,8,8,8,8,0,0,7,7,7,46.3961698932894,2,9
2404902,57,145,1-57-2024-145-NM2,22,1,6,55,1,0,0,7,77,7,7,7,7,7,214,215,1,3,3,184.840196410829,1,9
2404946,60,72,1-60-2024-072-NM1,21,1,5,50,1,760,750,3,3,8,8,8,8,8,0,0,7,7,7,43.22330010499,8,9
2404607,26,111,1-26-2024-111-NM1,21,1,5,89,1,150,100,3,5,8,8,8,8,8,0,0,7,7,7,76.6867213232,10,9
2405047,33,97,1-33-2024-097-NM1,21,1,5,23,2,760,750,3,3,8,8,8,8,8,0,0,7,7,7,55.4261582929793,12,9
2404463,14,82,1-14-2024-082-NM2,22,1,12,16,1,760,750,2,1,9,3,3,1,2d,0,0,7,7,7,398.655902879135,8,9
2404542,10,84,1-10-2024-084-NM2,22,1,5,52,2,320,350,3,3,8,8,8,8,8,0,0,7,7,7,303.372657865986,4,9
2404449,11,136,1-11-2024-136-NM1,21,1,5,68,2,760,750,3,3,8,8,8,8,8,0,0,7,7,7,37.1071357763572,8,9
2405042,18,126,1-18-2024-126-NM2,22,1,5,37,1,461,460,3,5,8,8,8,8,8,0,0,7,7,7,352.555780341459,6,9
2404906,77,155,1-77-2024-155-NM1,21,1,5,64,2,770,750,1,2,2,3,3,2,3b,0,0,7,7,7,113.21347390618,9,9
2404652,30,158,1-30-2024-158-NM2,22,1,13,22,1,781,790,1,2,3,1,1,2,11b,0,0,7,7,7,415.467981801604,10,9
2404650,82,126,1-82-2024-126-NM2,22,1,5,11,1,742,740,2,3,3,4,3,2,4b,0,0,7,7,7,272.240647923415,1,9
2404955,16,122,1-16-2024-122-NM1,21,1,5,16,2,680,990,3,5,8,8,8,8,8,0,0,7,7,7,20.5106500164933,5,9
2405381,22,165,1-22-2024-165-NM2,22,1,11,19,2,770,750,3,2,8,8,8,8,8,0,0,7,7,7,86.2407444911639,12,9
2405527,48,179,1-48-2024-179-NM1,21,1,5,30,1,190,100,3,4,8,8,8,8,8,0,0,7,7,7,85.8427679861707,12,9
2405120,22,154,1-22-2024-154-NM2,22,1,6,17,1,0,0,7,77,7,7,7,7,7,223,225,3,1,1,64.1408737687855,12,9
2405560,57,173,1-57-2024-173-NM2,22,1,5,65,1,741,740,1,2,4,4,1,2,11a,0,0,7,7,7,166.164473508738,1,9
2405096,32,144,1-32-2024-144-NM1,21,1,5,39,1,741,740,3,3,8,8,8,8,8,0,0,7,7,7,65.0700959465246,7,9
2405242,17,171,1-17-2024-171-NM2,22,1,5,12,1,770,750,1,2,4,3,3,2,3a,0,0,7,7,7,85.8489914277837,4,9
2405047,33,97,1-33-2024-097-NM1,21,2,5,23,3,760,750,3,3,8,8,8,8,8,0,0,7,7,7,55.4261582929793,12,9
2405069,11,151,1-11-2024-151-NM1,21,1,5,68,2,130,100,2,3,9,3,9,1,99,0,0,7,7,7,37.1071357763572,8,9
2405111,15,197,1-15-2024-197-NM2,22,1,5,17,2,781,790,1,2,4,4,1,2,11a,0,0,7,7,7,69.3276767334112,1,9
2405570,25,151,1-25-2024-151-NM2,22,1,5,58,2,781,790,1,2,1,3,1,2,11b,0,0,7,7,7,362.735522403193,2,9
2405648,14,114,1-14-2024-114-NM1,21,1,5,999,1,910,910,3,3,8,8,8,8,8,0,0,7,7,7,89.7759087557985,8,9
2405303,30,179,1-30-2024-179-NM2,22,1,6,43,1,0,0,7,77,7,7,7,7,7,329,320,3,2,2,503.501583789456,10,9
2405105,27,160,1-27-2024-160-NM2,22,1,6,41,1,0,0,7,77,7,7,7,7,7,212,210,1,1,1,35.0197990149152,3,9
2405228,82,149,1-82-2024-149-NM2,22,1,5,21,1,781,790,1,2,1,3,1,2,11b,0,0,7,7,7,530.041651146454,1,9
2405428,20,129,1-20-2024-129-NM1,21,1,5,62,1,140,100,2,5,9,4,1,1,10d,0,0,7,7,7,35.0220589332575,11,9
2406281,52,63,1-52-2024-063-NM2,22,1,12,15,1,770,750,1,2,2,3,2,1,5b,0,0,7,7,7,99.7929570162416,12,9
2406343,11,191,1-11-2024-191-NM1,21,1,6,21,1,0,0,7,77,7,7,7,7,7,231,230,3,1,1,37.1071357763572,8,9
2404276,81,106,1-81-2024-106-NM1,21,1,5,45,1,760,750,2,3,9,4,3,2,4c,0,0,7,7,7,34.7221032435964,8,9
2405977,26,132,1-26-2024-132-NM1,21,1,5,8,1,230,100,3,4,8,8,8,8,8,0,0,7,7,7,29.2426811637843,10,9
2405977,26,132,1-26-2024-132-NM1,21,2,5,9,2,230,100,3,4,8,8,8,8,8,0,0,7,7,7,29.2426811637843,10,9
2406065,79,118,1-79-2024-118-NM1,21,1,5,39,1,690,990,2,3,9,1,3,1,2d,0,0,7,7,7,131.970085856043,8,9
2405961,32,156,1-32-2024-156-NM1,21,1,5,49,2,781,790,1,2,4,2,1,2,11b,0,0,7,7,7,64.9248984713776,7,9
