CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,TRAJCLASS,TRAJTYPE,TRAJCONF,EVIDSPEED,EVIDBRAKE,EVIDSTEERING,EVIDFRP,EVIDSTATURE,EVIDVEHPROFILE,EVIDCORNER,EVIDINITORIENT,EVIDAVOID,EVIDVIDEO,EVIDWITNESS,EVIDEXPERIMENT,EVIDSIM,EVIDOTHER,CASEWGT,PSUSTRAT,VERSION
2405353,29,90,1-29-2024-090-NM2,22,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.603383200049,2,9
2401143,30,39,1-30-2024-039-NM2,22,1,1,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269.894765505706,10,9
2401143,30,39,1-30-2024-039-NM2,22,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269.894765505706,10,9
2403799,69,82,1-69-2024-082-NM1,21,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,2,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,12.0111452927932,8,9
2401286,52,17,1-52-2024-017-NM2,22,1,1,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,35.2372312111538,12,9
2402754,26,79,1-26-2024-079-NM2,22,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1030.55932741376,10,9
2402090,16,59,1-16-2024-059-NM1,21,1,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.3635256654646,5,9
2401306,26,31,1-26-2024-031-NM1,21,1,1,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,2,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,25.7030205312635,10,9
2405485,30,188,1-30-2024-188-NM1,21,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.593345242516,10,9
2403370,32,117,1-32-2024-117-NM1,21,1,1,99,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6793297433215,7,9
2404160,25,110,1-25-2024-110-NM2,22,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.706177804094,2,9
2404652,30,158,1-30-2024-158-NM2,22,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,415.467981801604,10,9
2404652,30,158,1-30-2024-158-NM2,22,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.467981801604,10,9
2405242,17,171,1-17-2024-171-NM2,22,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85.8489914277837,4,9
2405242,17,171,1-17-2024-171-NM2,22,1,2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.8489914277837,4,9
2405316,24,148,1-24-2024-148-NM1,21,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1726143074507,1,9
2404042,29,53,1-29-2024-053-NM2,22,1,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,480.123684005821,2,9
2400118,69,3,1-69-2024-003-NM1,21,1,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,7.66811372485411,8,9
2401453,22,45,1-22-2024-045-NM2,22,1,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.8393033504253,12,9
2405953,27,183,1-27-2024-183-NM2,22,1,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,130.19869272293,3,9
2405953,27,183,1-27-2024-183-NM2,22,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,130.19869272293,3,9
2401339,59,43,1-59-2024-043-NM2,22,1,1,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,260.431399312795,6,9
2401980,26,53,1-26-2024-053-NM2,22,1,1,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,326.204869245419,10,9
2401980,26,53,1-26-2024-053-NM2,22,1,2,7,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,326.204869245419,10,9
