CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
2401238,48,45,1-48-2024-045-02,2,1,LF,129,Scorpion Zero,P255/50R20,1UN16350h0521,7,0,1,74.210049573419,12,9
2401238,48,45,1-48-2024-045-02,2,1,RR,129,Scorpion Zero,P255/50R20,1UN16350H0321,7,0,1,74.210049573419,12,9
2401238,48,45,1-48-2024-045-02,2,1,LR,129,Scorpion Zero,P255/50R20,1UN16350H0521,7,0,1,74.210049573419,12,9
2401072,15,38,1-15-2024-038-03,3,1,LR,129,scorpion verde all season,P275/40R21,XNCN W6524123,14,0,1,16.4515804876236,1,9
2401072,15,38,1-15-2024-038-03,3,1,RR,129,scorpion verde all season,P275/40R21,XNCN W6524123,15,0,1,16.4515804876236,1,9
2404890,30,167,1-30-2024-167-NM2,22,1,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,814.767720370494,10,9
2404890,30,167,1-30-2024-167-NM2,22,1,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,814.767720370494,10,9
2404890,30,167,1-30-2024-167-NM2,22,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,814.767720370494,10,9
2400419,10,7,1-10-2024-007-06,6,2,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,529.49150245627,4,9
2400419,10,7,1-10-2024-007-06,6,2,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,529.49150245627,4,9
2400419,10,7,1-10-2024-007-06,6,2,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,529.49150245627,4,9
2400419,10,7,1-10-2024-007-06,6,2,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,529.49150245627,4,9
2400757,30,22,1-30-2024-022-05,5,1,RR,999,Unknown,UNKNOWN,9999999999999,99,1,9,81.1099107810627,10,9
2402417,18,77,1-18-2024-077-06,6,2,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,172.994115439281,6,9
2402417,18,77,1-18-2024-077-06,6,2,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,172.994115439281,6,9
2402417,18,77,1-18-2024-077-06,6,2,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,172.994115439281,6,9
