CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VEHFACTORTYPE,VEHFACTOR,CASEWGT,PSUSTRAT,VERSION
2401016,24,22,1-24-2024-022-NM1,21,1,3,3006,81.6170730667138,1,9
2404943,24,137,1-24-2024-137-NM2,22,1,3,3006,103.775968566411,1,9
2402210,25,53,1-25-2024-053-NM2,22,1,3,3010,202.399293704263,2,9
2405594,27,174,1-27-2024-174-NM2,22,1,3,3006,41.6395308351094,3,9
2400448,82,13,1-82-2024-013-NM2,22,1,3,3010,387.535062825824,1,9
2405728,82,162,1-82-2024-162-NM1,21,1,3,3010,25.4374322287382,1,9
2405729,82,163,1-82-2024-163-NM2,22,1,3,3006,2077.73112331519,1,9
2400118,69,3,1-69-2024-003-NM1,21,1,4,4003,7.66811372485411,8,9
2400052,27,1,1-27-2024-001-NM1,21,1,4,4005,20.5862279366663,3,9
2400448,82,13,1-82-2024-013-NM2,22,1,4,4003,387.535062825824,1,9
2400846,82,22,1-82-2024-022-NM2,22,1,4,4001,774.715121583303,1,9
2400846,82,22,1-82-2024-022-NM2,22,1,4,4098,774.715121583303,1,9
2400112,28,2,1-28-2024-002-NM2,22,1,4,4012,55.8454658150129,3,9
2400052,27,1,1-27-2024-001-NM1,21,1,4,4006,20.5862279366663,3,9
2400684,59,25,1-59-2024-025-NM2,22,1,4,4003,264.2527724963,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,4,4003,197.377933176122,6,9
2400683,59,24,1-59-2024-024-NM1,21,1,4,4003,62.3822922049643,6,9
2400825,10,13,1-10-2024-013-NM1,21,1,4,4003,60.5767032793963,4,9
2401016,24,22,1-24-2024-022-NM1,21,1,4,4098,81.6170730667138,1,9
2401750,57,33,1-57-2024-033-NM1,21,1,4,4003,38.5305215581579,1,9
2401453,22,45,1-22-2024-045-NM2,22,1,4,4098,29.8393033504253,12,9
2401844,26,46,1-26-2024-046-NM1,21,2,4,4002,25.7030205312635,10,9
2402106,82,48,1-82-2024-048-NM2,22,1,4,4003,217.855164636431,1,9
2402243,15,87,1-15-2024-087-NM2,22,1,4,4005,35.7446223566179,1,9
2402543,25,60,1-25-2024-060-NM1,21,1,4,4003,46.3961698932894,2,9
2402195,79,44,1-79-2024-044-NM2,22,1,4,4005,110.555038236303,8,9
2402589,33,42,1-33-2024-042-NM2,22,1,4,4008,361.093515754961,12,9
2401842,22,56,1-22-2024-056-NM2,22,1,4,4002,24.4305122731702,12,9
2402755,26,80,1-26-2024-080-NM1,21,1,4,4005,25.7030205312635,10,9
2402738,32,98,1-32-2024-098-NM1,21,1,4,4005,72.5717518696977,7,9
2402767,27,90,1-27-2024-090-NM2,22,1,4,4003,33.2945661482558,3,9
2400831,77,28,1-77-2024-028-NM2,22,1,4,4005,330.223105550016,9,9
2401183,22,34,1-22-2024-034-NM2,22,1,4,4005,24.4305122731702,12,9
2402975,24,81,1-24-2024-081-NM2,22,1,4,4003,262.129476205265,1,9
2402933,77,98,1-77-2024-098-NM1,21,1,4,4002,113.21347390618,9,9
2403020,22,90,1-22-2024-090-NM2,22,1,4,4005,24.4305122731702,12,9
2402288,81,46,1-81-2024-046-NM2,22,1,4,4005,2408.08347527868,8,9
2403378,16,98,1-16-2024-098-NM1,21,1,4,4002,23.4984908001716,5,9
2404311,19,58,1-19-2024-058-NM1,21,1,4,4003,58.1964149408969,9,9
2404163,25,113,1-25-2024-113-NM2,22,1,4,4011,217.706177804094,2,9
2404029,82,106,1-82-2024-106-NM2,22,1,4,4003,313.918669121444,1,9
2403715,25,97,1-25-2024-097-NM2,22,1,4,4002,209.921679437629,2,9
2402702,20,77,1-20-2024-077-NM2,22,1,4,4008,87.941289186377,11,9
2404449,11,136,1-11-2024-136-NM1,21,1,4,4003,37.1071357763572,8,9
2405167,57,157,1-57-2024-157-NM1,21,1,4,4003,19.2604769426058,1,9
2404890,30,167,1-30-2024-167-NM2,22,1,4,4003,814.767720370494,10,9
2405355,67,48,1-67-2024-048-NM2,22,1,4,4003,466.844383438263,7,9
2404943,24,137,1-24-2024-137-NM2,22,1,4,4098,103.775968566411,1,9
2402090,16,59,1-16-2024-059-NM1,21,1,4,4005,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,4,4005,19.3635256654646,5,9
2405105,27,160,1-27-2024-160-NM2,22,1,4,4003,35.0197990149152,3,9
2404502,31,95,1-31-2024-095-NM2,22,1,4,4008,343.437603726452,6,9
2404267,15,171,1-15-2024-171-NM2,22,1,4,4002,27.5756522213656,1,9
2405677,69,143,1-69-2024-143-NM1,21,1,4,4002,7.66811372485411,8,9
2404827,25,127,1-25-2024-127-NM1,21,1,4,4008,46.3961698932894,2,9
2404927,54,110,1-54-2024-110-NM1,21,2,4,4004,158.05614243884,9,9
2405134,81,130,1-81-2024-130-NM1,21,1,4,4007,32.358742659987,8,9
2405316,24,148,1-24-2024-148-NM1,21,1,4,4008,23.1726143074507,1,9
2405570,25,151,1-25-2024-151-NM2,22,1,4,4003,362.735522403193,2,9
